Wall time,Step,Value
1665212170.520177,18,3.3160266876220703
1665212177.1117747,42,3.034193992614746
1665212177.9323525,45,7.132524490356445
1665212180.9855587,56,3.7570688724517822
1665212185.139312,71,3.1749331951141357
1665212196.919501,94,2.773914098739624
1665212213.968099,155,2.882805824279785
1665212214.7976546,158,3.5443716049194336
1665212217.3174815,167,2.2543134689331055
1665212240.1918995,229,2.2340292930603027
1665212241.6027288,234,3.52288818359375
1665212247.5077453,255,3.0714101791381836
1665212256.3831093,267,2.1555111408233643
1665212258.0898323,273,2.9025886058807373
1665212268.1689544,308,3.3298537731170654
1665212268.7346082,310,2.7958829402923584
1665212271.0997813,318,2.2341644763946533
1665212279.4439852,347,2.8317885398864746
1665212290.1267648,367,3.272946357727051
1665212305.4410315,421,2.2082786560058594
1665212316.5584807,442,1.9522345066070557
1665212321.6824331,460,2.450899600982666
1665212325.7616606,474,2.01845383644104
1665212348.2667162,536,2.1547839641571045
1665212355.9361558,563,3.1853504180908203
1665212360.4797337,579,1.3763599395751953
1665212362.5051534,586,1.8866937160491943
1665212362.7951021,587,2.5848488807678223
1665212377.0757,620,1.4002325534820557
1665212381.0919063,634,1.6140061616897583
1665212383.3859415,642,1.8895485401153564
1665212384.8151898,647,1.285845398902893
1665212388.802015,661,1.995159387588501
1665212391.6908274,671,1.855543851852417
1665212409.163072,714,2.615466833114624
1665212411.4795759,722,2.8161873817443848
1665212413.8116117,730,2.8154735565185547
1665212421.2574995,756,1.6518241167068481
1665212423.8552783,765,1.3039250373840332
1665212424.994584,769,2.0667457580566406
1665212425.5773287,771,1.4042510986328125
1665212434.5450058,785,1.4550268650054932
1665212435.1230354,787,1.6910185813903809
1665212437.1352286,794,1.99721097946167
1665212439.4322047,802,1.922897458076477
1665212441.1775753,808,2.4027209281921387
1665212449.2194774,836,2.259889602661133
1665212485.4218678,945,1.5330089330673218
1665212495.2336178,962,1.8982722759246826
1665212497.817728,971,2.5754263401031494
1665212498.1052501,972,1.58817720413208
1665212499.813847,978,2.112544059753418
1665212501.5220842,984,1.5053999423980713
1665212506.640898,1002,2.0355420112609863
1665212507.4899652,1005,3.1394009590148926
1665212510.0479276,1014,1.4451769590377808
1665212529.314804,1063,2.179062604904175
1665212530.161286,1066,1.4663317203521729
1665212531.8862224,1072,1.457103967666626
1665212533.6221955,1078,1.2612016201019287
1665212537.8987453,1093,2.1582014560699463
1665212539.5947425,1099,1.53653883934021
1665212541.0294504,1104,2.207815170288086
1665212560.7429779,1156,1.658306360244751
1665212562.2140129,1161,1.400242567062378
1665212562.4986994,1162,1.6779828071594238
1665212567.6578703,1180,1.549672245979309
1665212571.3407524,1193,2.034709930419922
1665212590.7903948,1244,1.6959235668182373
1665212595.6868358,1261,2.2142763137817383
1665212616.3242211,1316,1.459182858467102
1665212617.166781,1319,2.5304243564605713
1665212621.1433802,1333,1.5551962852478027
1665212622.3235745,1337,2.81563401222229
1665212636.1046476,1385,1.826612114906311
